province,city,area_code,name,website,level
安徽,芜湖,340200,芜湖市第四人民医院,http://www.haodf.com/hospital/DE4rO-XCoLU0-qIakhlkqINLVW.htm,二级甲等
安徽,铜陵,340700,铜陵心理医院,http://www.haodf.com/hospital/DE4rO-XCoLUXiaIYw1mnSzFYx4.htm,二级
安徽,安庆,340800,安庆市第六人民医院,http://www.haodf.com/hospital/DE4rO-XCoLU0jbO2m0TUy35vjf.htm,二级甲等
安徽,合肥,340100,合肥市第四人民医院,http://www.haodf.com/hospital/DE4rO-XCoLU0x2XNTaJfDy6Cbc.htm,三级
安徽,合肥,340100,合肥市第四人民医院,http://www.haodf.com/hospital/DE4rO-XCoLU0x2XNTaJfDy6Cbc.htm,三级
安徽,巢湖,340181,和县人民医院,http://www.haodf.com/hospital/DE4rO-XCoLUXJOUOljbt3pIpm0.htm,二级甲等
安徽,合肥,340100,合肥市传染病医院,http://www.haodf.com/hospital/DE4rO-XCoLUXhpYk8JOrYZEIRi.htm,二级甲等
安徽,黄山,341000,黄山市第二人民医院,http://www.haodf.com/hospital/DE4rO-XCoLUXhpmMVWVmvC3uh7.htm,二级
安徽,芜湖,340200,芜湖市第三人民医院,http://www.haodf.com/hospital/DE4rO-XCoLU0jr194wkiNDMHtx.htm,二级
安徽,合肥,340100,合肥中铁四局集团第四医院,http://www.haodf.com/hospital/DE4rO-XCoLU0j3568JOrYZEIRi.htm,二级
安徽,淮南,340400,淮南市第四人民医院,http://www.haodf.com/hospital/DE4rO-XCoLU0JaI0h7UcoLDoWk.htm,二级甲等
安徽,安庆,340800,安庆市纺织医院,http://www.haodf.com/hospital/DE4rO-XCoLU0xpWk8JOrYZEIRi.htm,二级
安徽,淮南,340400,淮南东方医院集团谢一医院,http://www.haodf.com/hospital/DE4rO-XCoLU0jr27rPeWduCBgU.htm,二级
安徽,蚌埠,340300,蚌埠市妇幼保健院,http://www.haodf.com/hospital/DE4rO-XCoLU0ibmXx47TZMZ31t.htm,二级
安徽,合肥,340100,肥西县人民医院,http://www.haodf.com/hospital/DE4rO-XCoLUXJopakhlkqINLVW.htm,二级
安徽,巢湖,340181,和县中医院,http://www.haodf.com/hospital/DE4rO-XCoLUXJpEmi88QpNK6eR.htm,二级
